,total ratings,installs,average rating,growth (30 days),growth (60 days),price,category,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings,paid
38,1985016,10000000,3,0.3,0.6,0.0,0,1293275,125940,82481,56490,426828,0
39,1949497,50000000,4,0.7,1.5,0.0,0,1268146,253822,113829,62099,251599,0
40,1860814,50000000,4,0.1,0.1,0.0,0,1160948,217692,116516,65998,299658,0
41,1846221,100000000,4,2.7,6.1,0.0,0,1224239,194406,138751,80276,208547,0
42,1823477,50000000,3,0.1,0.2,0.0,0,1182010,113508,91381,66639,369937,0
43,1796325,100000000,4,1.4,3.2,0.0,0,1346602,186584,95030,41917,126190,0
44,1714060,50000000,4,0.2,0.3,0.0,0,1307508,207492,77701,27838,93519,0
45,1656299,10000000,4,0.1,0.2,0.0,0,1168260,143292,81868,46576,216300,0
46,1642589,50000000,4,1.1,2.5,0.0,0,1250905,137258,70168,38552,145704,0
47,1607897,10000000,4,0.2,0.5,0.0,0,1036342,184035,107587,53758,226173,0
48,1599244,10000000,3,0.0,0.0,0.0,0,996575,145501,99100,53947,304119,0
49,1583866,100000000,3,0.3,0.8,0.0,0,877904,162431,131708,84146,327675,0
50,1576576,100000000,4,2.3,5.3,0.0,0,1146916,188132,81053,40397,120075,0
51,1542169,50000000,4,0.9,1.8,0.0,0,1081928,209791,90183,36824,123441,0
52,1495507,50000000,4,0.1,0.2,0.0,0,1096349,179585,80390,29979,109201,0
53,1481552,10000000,4,0.1,0.3,0.0,0,1101432,189555,81708,28774,80080,0
54,1457639,100000000,4,1.2,2.7,0.0,0,1091308,146150,77445,36949,105784,0
55,1396630,100000000,4,0.9,1.9,0.0,0,1033914,134027,67488,33534,127664,0
56,1344699,100000000,4,1.7,3.7,0.0,0,1027860,91275,58201,37535,129825,0
57,1301440,50000000,4,1.2,2.5,0.0,0,944546,135687,69421,32918,118866,0
58,1291305,50000000,4,1.4,2.9,0.0,0,992147,145616,55754,23143,74642,0
59,1258805,100000000,4,1.3,2.7,0.0,0,820853,127892,80228,51083,178747,0
60,1254295,10000000,4,0.5,1.2,0.0,0,896055,102711,59553,34605,161368,0
61,1238228,100000000,4,1.3,3.0,0.0,0,909585,103667,61570,36884,126519,0
62,1227050,50000000,4,0.8,1.7,0.0,0,876781,130160,71604,34890,113612,0
63,1216126,10000000,4,1.6,3.6,0.0,0,868905,139200,61082,28015,118922,0
64,1196490,50000000,4,0.3,0.6,0.0,0,777088,124118,91842,47065,156374,0
65,1166709,50000000,4,0.3,0.6,0.0,0,829860,123712,68779,31450,112906,0
66,1161701,100000000,4,1.2,2.4,0.0,0,692694,176040,96601,46480,149883,0
67,1134127,10000000,4,1.4,3.1,0.0,0,904701,144910,43308,12872,28334,0
68,1129645,50000000,4,4.1,8.5,0.0,0,846003,88206,53387,31451,110596,0
69,1073769,10000000,4,2.7,4.5,0.0,0,839876,56847,34971,22041,120032,0
70,1070197,100000000,4,2.6,5.6,0.0,0,758309,80160,55138,37528,139060,0
71,1066554,10000000,4,0.5,0.9,0.0,0,795922,118008,40491,18831,93301,0
72,1023162,50000000,4,0.0,0.1,0.0,0,637243,120170,62893,33380,169472,0
73,998677,10000000,4,0.0,0.1,0.0,0,716212,146888,62106,19161,54308,0
74,996586,100000000,4,2.7,5.9,0.0,0,682355,73943,51588,39307,149391,0
75,992742,10000000,4,0.2,0.6,0.0,0,617561,123643,72319,38945,140270,0
76,974789,100000000,4,4.2,9.0,0.0,0,711239,72360,43788,30322,117078,0
77,963507,10000000,3,0.5,0.9,0.0,0,547583,109014,62331,33309,211267,0
78,907609,10000000,4,0.7,1.4,0.0,0,669505,94180,47135,22028,74760,0
79,900069,10000000,4,1.5,2.3,0.0,0,623089,74194,38393,22556,141835,0
80,875257,10000000,3,0.1,0.2,0.0,0,550679,68691,58297,34315,163272,0
81,875065,100000000,4,6.4,14.5,0.0,0,702488,63211,30606,16093,62664,0
82,864581,100000000,4,2.5,5.3,0.0,0,650499,70109,36672,23021,84278,0
83,809654,10000000,4,0.5,1.3,0.0,0,537380,104057,50801,25962,91451,0
84,809487,10000000,4,1.9,4.2,0.0,0,550198,75892,46216,25340,111839,0
85,808331,10000000,4,0.3,0.8,0.0,0,514130,120636,67629,30074,75860,0
86,800432,100000000,4,0.1,0.2,0.0,0,565625,79308,51475,23173,80847,0
87,799866,10000000,3,0.0,0.0,0.0,0,487332,76581,33776,18217,183958,0
88,799114,10000000,4,2.9,9.0,0.0,0,628812,68233,33155,13323,55590,0
89,794575,50000000,4,1.7,3.6,0.0,0,614844,53826,33678,20882,71341,0
90,792071,100000000,4,0.1,0.2,0.0,0,680584,47463,18399,8824,36799,0
91,788653,50000000,4,0.3,0.7,0.0,0,537934,79339,56540,30852,83985,0
92,777188,50000000,4,1.4,3.1,0.0,0,551328,86449,45301,21966,72141,0
93,771254,50000000,4,3.0,6.6,0.0,0,542497,74237,39639,20325,94553,0
94,764042,10000000,4,3.0,7.1,0.0,0,585204,77395,31524,15502,54414,0
95,756002,10000000,3,0.1,0.1,0.0,0,434187,90078,58506,35311,137917,0
96,748945,10000000,4,0.1,0.3,0.0,0,554163,80239,38183,14231,62125,0
97,727627,10000000,4,0.1,0.1,0.0,0,541833,91851,33669,12216,48055,0
98,718905,10000000,4,0.2,0.5,0.0,0,445276,83143,55372,35836,99275,0
99,703514,10000000,4,0.6,1.3,0.0,0,519090,68518,34658,17634,63612,0
100,21820451,100000000,4,2.6,5.7,0.0,1,16674013,1916826,822266,423122,1984222,0
101,14541662,100000000,4,0.5,0.9,0.0,1,9517488,1746849,883965,452314,1941044,0
102,4273420,100000000,4,0.1,0.2,0.0,1,3264905,445397,217853,93681,251581,0
103,2544322,10000000,4,0.0,0.0,0.0,1,1722222,323198,198160,74312,226427,0
104,2258595,50000000,4,1.5,3.3,0.0,1,1659776,310670,122549,48906,116692,0
105,2078458,100000000,3,0.0,0.0,0.0,1,1166370,247385,221072,104655,338974,0
106,2016845,50000000,4,15364.2,5.2,0.0,1,1423448,161233,90975,57560,283626,0
107,1585186,10000000,4,0.1,0.2,0.0,1,1211041,177267,74388,29809,92678,0
108,1550978,10000000,4,6.2,15.5,0.0,1,1248963,139513,50491,23697,88311,0
109,1434245,50000000,4,0.1,0.1,0.0,1,943752,176055,111141,53711,149584,0
110,1279866,10000000,4,0.1,0.3,0.0,1,990768,104418,57683,28206,98788,0
111,1164984,50000000,4,0.1,0.3,0.0,1,851605,128930,74782,26563,83101,0
112,1096282,10000000,4,0.1,0.1,0.0,1,754581,139419,71549,32075,98655,0
113,1014301,10000000,3,0.3,0.7,0.0,1,542530,73688,72005,51658,274417,0
114,1008075,10000000,3,0.0,0.0,0.0,1,587972,126076,79831,49340,164854,0
115,892542,5000000,4,0.1,0.1,0.0,1,532135,214918,102189,19643,23655,0
116,830121,10000000,4,1.9,4.0,0.0,1,580582,143752,41142,16642,48000,0
117,822854,10000000,4,1.0,2.2,0.0,1,499384,155809,79328,34103,54228,0
118,753449,5000000,4,0.0,0.0,0.0,1,583782,93073,41661,10380,24550,0
119,734291,10000000,4,0.2,0.5,0.0,1,548689,77834,37498,17379,52889,0
120,728187,10000000,4,0.5,1.0,0.0,1,601386,54972,24205,10694,36927,0
121,677145,10000000,4,0.1,0.3,0.0,1,526704,54521,28494,14271,53152,0
122,668761,10000000,4,1.1,2.2,0.0,1,502309,64074,32411,16085,53879,0
123,653025,10000000,4,2.6,5.5,0.0,1,422638,69283,42381,23676,95044,0
124,637160,10000000,3,517.9,0.4,0.0,1,334913,57505,45776,33167,165796,0
125,625580,50000000,4,2.4,4.5,0.0,1,475950,58024,26954,14907,49743,0
126,554454,50000000,4,2.0,4.4,0.0,1,378346,47366,27814,19163,81761,0
127,549049,50000000,4,2.3,5.1,0.0,1,361061,64373,35178,20635,67799,0
128,545166,5000000,4,0.1,0.0,0.0,1,367186,59836,37681,19145,61316,0
129,532248,10000000,4,0.4,0.7,0.0,1,371942,93262,27248,11087,28706,0
130,530520,10000000,4,0.9,1.8,0.0,1,372553,68645,29737,14509,45074,0
131,526594,10000000,4,0.6,1.2,0.0,1,329694,100003,44311,18809,33774,0
132,505541,10000000,4,2.3,5.3,0.0,1,359523,111661,17212,5896,11246,0
133,495725,5000000,4,0.4,0.8,0.0,1,368974,72587,28261,8217,17684,0
134,491846,10000000,4,0.5,0.9,0.0,1,312123,47791,31641,19418,80871,0
135,486767,10000000,4,0.7,1.7,0.0,1,335639,79203,27697,11655,32572,0
136,476258,10000000,4,1.2,2.7,0.0,1,371122,46567,19971,9337,29259,0
137,443044,10000000,4,0.8,1.5,0.0,1,340597,55084,18141,7442,21778,0
138,442542,100000000,4,2.4,6.0,0.0,1,310760,41967,23638,14983,51191,0
139,434780,10000000,4,0.0,0.0,0.0,1,282007,58193,28882,13327,52369,0
140,428566,10000000,3,0.2,0.5,0.0,1,198352,56692,32869,24522,116130,0
141,394199,10000000,4,0.6,1.3,0.0,1,259228,58165,28583,14117,34104,0
142,376854,1000000,4,1.2,2.5,0.0,1,210364,86173,53464,12423,14428,0
143,373672,10000000,4,14.4,22.8,0.0,1,266506,60287,23503,7143,16231,0
144,347489,10000000,3,0.6,1.4,0.0,1,213419,36163,25947,15482,56474,0
145,342940,10000000,3,0.7,1.7,0.0,1,210677,36908,25365,16060,53928,0
146,340647,10000000,4,2.0,4.9,0.0,1,240206,48397,20907,8870,22265,0
147,326203,10000000,4,2283.0,0.4,0.0,1,238366,24575,15568,9217,38476,0
148,326177,10000000,4,11.7,27.8,0.0,1,248268,27790,11796,6681,31639,0
149,321154,10000000,4,0.1,0.2,0.0,1,205269,43812,25070,13274,33726,0
150,320317,10000000,4,1027.4,17.4,0.0,1,208001,29851,19215,12693,50554,0
151,317393,10000000,4,0.1,0.2,0.0,1,254347,21977,13156,5943,21967,0
152,316902,5000000,4,0.0,0.1,0.0,1,237051,31312,17425,8567,22544,0
153,316484,10000000,4,0.0,0.0,0.0,1,261012,25341,11826,4778,13525,0
154,315349,10000000,3,0.2,0.5,0.0,1,147620,48065,29967,21162,68532,0
155,310393,50000000,4,0.3,0.7,0.0,1,216151,24597,17098,10149,42396,0
156,302458,10000000,4,0.0,0.0,0.0,1,209809,34317,20129,11172,27028,0
157,299697,10000000,4,5.0,10.2,0.0,1,223886,21973,14655,8777,30403,0
158,276333,10000000,4,0.5,1.2,0.0,1,202494,37063,16735,6257,13781,0
159,269887,10000000,4,0.0,60.6,0.0,1,215891,22409,13503,5547,12534,0
160,267176,10000000,4,0.1,0.1,0.0,1,203138,20459,11244,6006,26326,0
161,248376,10000000,3,0.8,1.7,0.0,1,156766,21189,14838,10225,45355,0
162,245912,5000000,4,0.5,1.1,0.0,1,157308,34746,19289,10917,23650,0
163,244108,100000000,4,7.0,17.0,0.0,1,162830,18935,13921,9969,38451,0
164,241766,10000000,4,0.4,0.9,0.0,1,174210,25753,14123,7011,20666,0
165,237178,1000000,4,0.3,0.6,0.0,1,140986,51097,29799,6942,8351,0
166,236968,10000000,4,0.3,0.5,0.0,1,178035,28566,13369,5155,11840,0
167,236324,5000000,4,0.2,0.4,0.0,1,179887,22918,10579,5559,17378,0
168,235190,5000000,4,0.0,0.1,0.0,1,180024,25247,13218,3889,12808,0
169,232238,10000000,3,0.6,1.3,0.0,1,139009,29963,15906,9032,38326,0
170,228860,50000000,4,5156.3,6.8,0.0,1,155724,17892,13469,9404,32368,0
171,228093,10000000,3,0.1,0.2,0.0,1,137922,23910,18607,10966,36685,0
172,220878,10000000,4,1.1,2.4,0.0,1,162516,19437,10535,6342,22045,0
173,220154,10000000,4,0.0,0.1,0.0,1,157452,29143,14521,4294,14741,0
174,214038,1000000,4,0.8,1.9,0.0,1,148804,36783,15996,4554,7899,0
175,212099,10000000,3,0.1,0.2,0.0,1,119575,23404,18969,9375,40773,0
176,209326,10000000,4,1.7,5.1,0.0,1,135267,34179,15209,7029,17639,0
177,205339,10000000,4,5.0,11.4,0.0,1,157834,9984,7605,5007,24906,0
178,202932,10000000,4,0.1,0.1,0.0,1,120363,50493,20584,4941,6548,0
179,198913,5000000,4,1.2,2.4,0.0,1,154771,19840,8313,3912,12075,0
180,196731,10000000,4,2.0,5.0,0.0,1,140066,18997,10561,6110,20994,0
181,195798,10000000,3,0.1,0.3,0.0,1,98812,18705,18566,10027,49686,0
182,192892,10000000,4,7.4,19.4,0.0,1,129555,15897,9752,6792,30894,0
183,187523,1000000,4,1.1,3.0,0.0,1,153686,22367,6679,1949,2839,0
184,184387,5000000,4,1.1,2.2,0.0,1,137725,24816,9649,4022,8173,0
185,184296,10000000,4,0.1,0.3,0.0,1,127282,17122,11488,6373,22028,0
186,181431,1000000,4,1.7,3.9,0.0,1,118453,37881,17008,3258,4828,0
187,176486,50000000,4,1.8,3.9,0.0,1,115933,13880,9575,6955,30141,0
188,174281,5000000,4,0.2,0.4,0.0,1,102685,29511,14650,7075,20357,0
189,173009,10000000,4,0.7,1.4,0.0,1,112463,17402,9523,6694,26925,0
190,167371,10000000,4,0.9,1.9,0.0,1,119216,14108,9116,6127,18801,0
191,166142,1000000,4,0.1,0.3,0.0,1,130867,22259,6726,1980,4308,0
192,165363,10000000,3,0.3,0.7,0.0,1,82072,18237,15811,10471,38770,0
193,164143,1000000,4,1446.6,1.0,0.0,1,126888,15295,8052,3446,10459,0
194,164000,5000000,4,0.8,1.6,0.0,1,138571,12269,4782,2475,5900,0
195,162534,1000000,4,0.0,264.0,0.0,1,139554,12547,5061,1647,3723,0
196,159801,10000000,3,1.2,2.6,0.0,1,97662,15566,9679,6406,30485,0
197,155657,10000000,4,0.2,0.4,0.0,1,112657,13089,9609,4869,15429,0
198,155193,5000000,4,0.6,1.4,0.0,1,102527,16613,9828,5977,20246,0
199,154835,10000000,4,0.3,0.7,0.0,1,99726,22100,12197,5612,15197,0
200,35665901,1000000000,4,0.5,1.0,0.0,2,27138572,3366600,1622695,814890,2723142,0
201,7202013,100000000,4,0.4,0.8,0.0,2,5220860,792543,404086,191098,593424,0
202,6960814,100000000,4,421.7,0.9,0.0,2,4787054,831967,432708,188672,720411,0
203,5903477,100000000,4,0.4,0.8,0.0,2,4295577,615956,339838,159034,493070,0
204,5402149,100000000,4,0.7,1.5,0.0,2,4290826,539449,214946,88100,268825,0
205,5367599,100000000,4,0.2,0.4,0.0,2,3745457,583916,354239,150993,532992,0
206,4919742,100000000,4,0.1,0.2,0.0,2,3676322,567777,271954,94004,309682,0
207,4816448,500000000,4,0.7,1.5,0.0,2,3184391,438320,318164,204384,671187,0
208,4565220,100000000,4,0.6,1.2,0.0,2,3220230,532157,287592,139793,385446,0
209,4100452,10000000,4,234.3,2.4,7.49,2,3324435,317144,135048,65677,258146,1
210,3398125,100000000,4,0.2,0.5,0.0,2,2395375,354636,204730,99007,344374,0
211,3290970,100000000,4,1.4,2.9,0.0,2,2393224,283587,152239,95032,366885,0
212,2858076,10000000,4,0.0,0.2,0.0,2,1795281,475749,286985,88464,211595,0
213,2342083,100000000,4,1.0,2.1,0.0,2,1816379,198405,90386,47422,189489,0
214,2222817,100000000,4,3.5,7.7,0.0,2,1461686,192188,120639,79343,368958,0
215,2156973,100000000,4,1.8,3.9,0.0,2,1510574,191501,113211,71395,270289,0
216,2096404,100000000,4,1.8,3.4,0.0,2,1726149,161104,70669,34470,104010,0
217,2062961,50000000,4,3.7,8.6,0.0,2,1624579,147084,71698,37603,181994,0
218,1988570,100000000,4,1.2,2.6,0.0,2,1572089,156316,80008,41595,138560,0
219,1910010,100000000,3,0.3,0.7,0.0,2,1110353,239968,152266,89330,318090,0
220,1900382,50000000,4,0.2,0.4,0.0,2,1512745,178112,72290,31011,106221,0
221,1858504,100000000,4,1.5,2.5,0.0,2,1420595,193116,86126,40095,118569,0
222,1793741,100000000,4,0.1,0.2,0.0,2,1171395,203409,147447,59488,212000,0
223,1735909,50000000,4,0.4,0.7,0.0,2,1300677,187802,93990,34872,118566,0
224,1679572,100000000,4,0.0,0.0,0.0,2,1242877,203320,96109,40077,97187,0
225,1573012,10000000,3,0.0,0.1,0.0,2,940005,180923,135759,68822,247501,0
226,1564855,100000000,4,0.6,1.4,0.0,2,1071973,156950,94348,56534,185047,0
227,1493740,100000000,4,4.5,14.0,0.0,2,934431,158781,126162,67909,206456,0
228,1471629,100000000,4,1.5,3.4,0.0,2,975205,141609,89864,56824,208125,0
229,1470166,100000000,4,0.0,0.0,0.0,2,1069403,194779,77716,36573,91693,0
230,1458849,10000000,4,0.2,0.3,0.0,2,1012396,180762,89016,37984,138688,0
231,1340841,100000000,3,0.7,1.2,0.0,2,725819,164205,142281,80224,228309,0
232,1337580,100000000,4,2.7,5.6,0.0,2,1013921,120437,57288,31344,114587,0
233,1254191,100000000,4,0.1,0.3,0.0,2,921162,142312,80488,32165,78061,0
234,1215112,100000000,4,0.1,0.1,0.0,2,914036,101920,67294,27922,103938,0
235,1205884,100000000,4,0.0,0.1,0.0,2,770961,125694,97115,38288,173823,0
236,1188910,50000000,4,0.1,0.3,0.0,2,785999,93502,67304,41596,200506,0
237,1153022,50000000,4,0.2,0.4,0.0,2,767538,152124,84721,37763,110873,0
238,1136712,10000000,4,0.0,0.1,0.0,2,794750,206822,80806,14190,40143,0
239,1132730,50000000,4,0.1,0.1,0.0,2,829701,135593,64673,23686,79075,0
240,1102273,100000000,4,0.4,0.8,0.0,2,690857,140198,76072,45368,149775,0
241,1089029,50000000,4,0.4,0.8,0.0,2,749202,118094,74237,36598,110896,0
242,1082604,50000000,4,0.8,1.8,0.0,2,649183,141827,91623,48150,151818,0
243,1079670,100000000,4,0.5,1.0,0.0,2,811052,81884,50974,31690,104068,0
244,1079537,100000000,4,1.1,2.3,0.0,2,836216,78970,45685,27253,91411,0
245,1066764,100000000,4,1.0,1.9,0.0,2,730329,115731,66556,33722,120423,0
246,1042160,50000000,4,1.1,1.9,0.0,2,760677,112796,55978,23795,88911,0
247,1040051,50000000,4,0.2,0.5,0.0,2,774936,103632,58908,24854,77719,0
248,988381,50000000,4,0.4,0.9,0.0,2,752024,81739,45929,26358,82328,0
249,955594,100000000,4,1.2,2.5,0.0,2,684749,89958,58706,31681,90497,0
250,949510,100000000,4,6.5,14.0,0.0,2,736043,64772,37205,22355,89132,0
251,926298,50000000,4,0.1,0.2,0.0,2,671799,107479,61137,20868,65013,0
252,923982,50000000,4,9.2,19.1,0.0,2,712509,111993,45974,15592,37912,0
253,903937,100000000,4,3.3,7.8,0.0,2,602667,87709,60378,37674,115506,0
254,883825,10000000,4,0.7,1.5,0.0,2,658521,87562,42961,20344,74434,0
255,878563,100000000,4,5.6,11.2,0.0,2,594828,74318,50544,35093,123778,0
256,860147,100000000,3,0.3,0.7,0.0,2,523785,98246,65754,38475,133885,0
257,827611,100000000,4,0.0,0.1,0.0,2,647207,100159,36474,9363,34405,0
258,791425,10000000,4,0.3,0.7,0.0,2,534451,43551,39653,26844,146923,0
259,784985,50000000,4,4.4,9.6,0.0,2,587579,62902,32887,21327,80287,0
260,777941,1000000,4,0.7,1.3,1.99,2,636912,73308,24749,9026,33945,1
261,752635,10000000,4,0.0,0.1,0.0,2,603783,86183,31653,9078,21935,0
262,715951,50000000,4,7.3,16.5,0.0,2,483133,69181,37056,24468,102110,0
263,693956,50000000,4,0.9,1.9,0.0,2,463486,77216,51767,26398,75087,0
264,690642,10000000,4,0.0,0.0,0.0,2,457100,98199,54710,19396,61235,0
265,662256,100000000,4,0.8,863.6,0.0,2,469634,59835,38697,23160,70927,0
266,660553,10000000,4,0.1,0.3,0.0,2,483682,62930,37560,17430,58950,0
267,656039,50000000,4,4.6,10.4,0.0,2,555192,41420,18778,9270,31377,0
268,636293,100000000,4,2.1,4.8,0.0,2,455906,62932,29296,20066,68091,0
269,626542,50000000,4,2.6,4.7,0.0,2,484878,59816,27043,11050,43753,0
270,621232,100000000,3,1117.1,1107.1,0.0,2,367867,71578,67163,34403,80219,0
271,620257,50000000,3,0.9,1.9,0.0,2,355568,93220,54643,31418,85405,0
272,609853,10000000,4,0.2,0.4,0.0,2,522395,32985,15337,7428,31705,0
273,588562,10000000,4,0.0,0.0,0.0,2,376960,58234,42194,17599,93573,0
274,581821,10000000,4,77.5,0.3,0.0,2,450597,64012,26420,9972,30817,0
275,572863,50000000,4,0.1,0.2,0.0,2,323922,96008,55435,27358,70138,0
276,561461,10000000,4,0.0,0.1,0.0,2,344081,93766,60771,20160,42680,0
277,556766,10000000,4,0.3,0.6,0.0,2,417025,52081,24677,10020,52961,0
278,541549,10000000,4,1.4,2.4,0.0,2,450604,55216,17728,5449,12549,0
279,532569,10000000,4,2.7,5.9,0.0,2,395621,48350,27559,12339,48696,0
280,532176,10000000,4,0.0,0.0,0.0,2,353695,83149,33681,15527,46122,0
281,509654,50000000,4,1.8,3.0,0.0,2,407365,41520,18908,9863,31996,0
282,506876,50000000,3,0.5,1.2,0.0,2,290763,74910,50722,25625,64853,0
283,497484,10000000,4,0.4,0.8,0.0,2,405757,48566,18492,6533,18133,0
284,476858,10000000,4,2948.2,0.1,0.0,2,329614,64312,32355,11652,38924,0
285,473706,50000000,4,0.1,0.1,0.0,2,296894,49159,43940,18046,65665,0
286,470099,10000000,4,0.9,1.8,0.0,2,315988,61332,27827,14373,50577,0
287,467497,10000000,4,0.6,1.5,0.0,2,317484,54366,29299,12418,53927,0
288,466518,10000000,4,0.1,0.1,0.0,2,340776,51499,28569,9164,36508,0
289,460549,10000000,4,0.2,0.3,0.0,2,368057,49159,18102,6607,18622,0
290,458684,10000000,4,1.3,2.5,0.0,2,308505,50335,25797,12264,61781,0
291,449205,10000000,4,0.6,1.3,0.0,2,311382,35677,23861,16154,62128,0
292,448716,100000000,3,0.5,1.2,0.0,2,271968,45329,35060,22824,73533,0
293,447522,10000000,4,990.2,0.7,0.0,2,268067,58110,41935,22944,56463,0
294,446946,10000000,4,0.1,0.2,0.0,2,331761,57741,25895,9077,22469,0
295,441188,50000000,4,1.8,4.4,0.0,2,310177,39918,27014,15030,49046,0
296,438162,10000000,4,0.1,0.1,0.0,2,309059,54390,26775,10700,37236,0
297,429256,10000000,4,0.3,0.6,0.0,2,318853,42785,22872,11416,33328,0
298,426000,50000000,4,0.1,0.2,0.0,2,255915,70110,42076,15851,42046,0
299,418663,10000000,3,0.3,0.6,0.0,2,218936,46999,31975,20348,100402,0
300,7512316,500000000,4,4.0,6.5,0.0,3,5291589,773193,369290,204053,874188,0
301,2516777,100000000,4,250.5,2.9,0.0,3,1927153,358243,109137,38480,83762,0
302,2430531,10000000,4,0.2,0.5,0.0,3,1763377,127289,78458,41427,419978,0
303,2131083,50000000,4,1.5,3.2,0.0,3,1587565,176498,89205,46088,231725,0
304,1590460,10000000,3,0.0,0.0,0.0,3,664388,137875,140391,88652,559151,0
305,1578022,100000000,4,1.9,4.0,0.0,3,1097787,214381,99477,41236,125138,0
306,1283404,100000000,4,528.5,5.2,0.0,3,995139,130393,56747,27061,74062,0
307,1273770,100000000,4,2.6,5.1,0.0,3,929697,113906,53688,29740,146737,0
308,1245352,10000000,4,0.1,0.2,0.0,3,963785,69907,41197,17092,153370,0
309,1062798,50000000,4,2.8,6.2,0.0,3,829950,139476,35263,14426,43680,0
310,788064,10000000,4,1.8,3.9,0.0,3,604370,104216,34581,14116,30778,0
311,769196,10000000,4,2.1,4.5,0.0,3,597616,56899,32850,14912,66917,0
312,615530,10000000,4,7.8,15.8,0.0,3,493766,68026,19325,7219,27192,0
313,598584,5000000,4,0.2,0.4,0.0,3,481850,54404,28767,10827,22734,0
314,597656,10000000,4,2.8,5.5,0.0,3,416103,46952,33058,18737,82805,0
315,575124,10000000,4,0.4,0.8,0.0,3,445724,24956,15105,8122,81214,0
316,567662,10000000,4,0.2,0.4,0.0,3,460779,36966,21660,10130,38125,0
317,554532,100000000,4,1.4,3.0,0.0,3,371827,69515,37892,18726,56569,0
318,482155,50000000,4,0.8,1.9,0.0,3,350353,50622,27688,14084,39405,0
319,470850,10000000,4,0.3,0.7,0.0,3,396719,31773,15341,6226,20788,0
320,467655,5000000,4,0.4,0.8,0.0,3,339411,65520,18573,8821,35327,0
321,466525,5000000,3,2212.2,0.2,0.0,3,271493,22728,15722,8505,148075,0
322,447613,10000000,4,0.0,0.0,0.0,3,344284,45999,23309,12179,21840,0
